ID,Date,Variable,value
MX000017004,1955-04-01,tmax,310
MX000017004,1955-04-01,tmin,150
MX000017004,1955-04-01,prcp,0
MX000017004,1955-04-02,tmax,310
MX000017004,1955-04-02,tmin,200
MX000017004,1955-04-02,prcp,0
MX000017004,1955-04-03,tmax,300
MX000017004,1955-04-03,tmin,160
MX000017004,1955-04-03,prcp,103
MX000017004,1955-04-04,tmax,270
MX000017004,1955-04-04,tmin,150
MX000017004,1955-04-04,prcp,18
MX000017004,1955-04-05,tmax,230
MX000017004,1955-04-05,tmin,140
MX000017004,1955-04-05,prcp,24
MX000017004,1955-04-06,tmax,230
MX000017004,1955-04-06,tmin,150
MX000017004,1955-04-06,prcp,84
MX000017004,1955-04-07,tmax,240
MX000017004,1955-04-07,tmin,150
MX000017004,1955-04-07,prcp,208
MX000017004,1955-04-08,tmax,270
MX000017004,1955-04-08,tmin,130
MX000017004,1955-04-08,prcp,0
MX000017004,1955-04-09,tmax,240
MX000017004,1955-04-09,tmin,130
MX000017004,1955-04-09,prcp,0
MX000017004,1955-04-10,tmax,240
MX000017004,1955-04-10,tmin,90
MX000017004,1955-04-10,prcp,0
MX000017004,1955-04-11,tmax,260
MX000017004,1955-04-11,tmin,120
MX000017004,1955-04-11,prcp,0
MX000017004,1955-04-12,tmax,290
MX000017004,1955-04-12,tmin,130
MX000017004,1955-04-12,prcp,0
MX000017004,1955-04-13,tmax,320
MX000017004,1955-04-13,tmin,160
MX000017004,1955-04-13,prcp,0
MX000017004,1955-04-14,tmax,280
MX000017004,1955-04-14,tmin,140
MX000017004,1955-04-14,prcp,222
MX000017004,1955-04-15,tmax,230
MX000017004,1955-04-15,tmin,140
MX000017004,1955-04-15,prcp,0
MX000017004,1955-04-16,tmax,250
MX000017004,1955-04-16,tmin,140
MX000017004,1955-04-16,prcp,132
MX000017004,1955-04-17,tmax,250
MX000017004,1955-04-17,tmin,140
MX000017004,1955-04-17,prcp,153
MX000017004,1955-04-18,tmax,270
MX000017004,1955-04-18,tmin,150
MX000017004,1955-04-18,prcp,158
MX000017004,1955-04-19,tmax,260
MX000017004,1955-04-19,tmin,160
MX000017004,1955-04-19,prcp,6
MX000017004,1955-04-20,tmax,240
MX000017004,1955-04-20,tmin,120
MX000017004,1955-04-20,prcp,0
MX000017004,1955-04-21,tmax,260
MX000017004,1955-04-21,tmin,120
MX000017004,1955-04-21,prcp,0
MX000017004,1955-04-22,tmax,270
MX000017004,1955-04-22,tmin,140
MX000017004,1955-04-22,prcp,0
MX000017004,1955-04-23,tmax,280
MX000017004,1955-04-23,tmin,130
MX000017004,1955-04-23,prcp,0
MX000017004,1955-04-24,tmax,300
MX000017004,1955-04-24,tmin,160
MX000017004,1955-04-24,prcp,0
MX000017004,1955-04-25,tmax,310
MX000017004,1955-04-25,tmin,170
MX000017004,1955-04-25,prcp,0
MX000017004,1955-04-26,tmax,290
MX000017004,1955-04-26,tmin,180
MX000017004,1955-04-26,prcp,17
MX000017004,1955-04-27,tmax,260
MX000017004,1955-04-27,tmin,160
MX000017004,1955-04-27,prcp,92
MX000017004,1955-04-28,tmax,280
MX000017004,1955-04-28,tmin,160
MX000017004,1955-04-28,prcp,0
MX000017004,1955-04-29,tmax,240
MX000017004,1955-04-29,tmin,130
MX000017004,1955-04-29,prcp,0
MX000017004,1955-04-30,tmax,270
MX000017004,1955-04-30,tmin,150
MX000017004,1955-04-30,prcp,0
MX000017004,1955-05-01,tmax,230
MX000017004,1955-05-01,tmin,70
MX000017004,1955-05-01,prcp,0
MX000017004,1955-05-02,tmax,240
MX000017004,1955-05-02,tmin,110
MX000017004,1955-05-02,prcp,58
MX000017004,1955-05-03,tmax,270
MX000017004,1955-05-03,tmin,140
MX000017004,1955-05-03,prcp,0
MX000017004,1955-05-04,tmax,280
MX000017004,1955-05-04,tmin,120
MX000017004,1955-05-04,prcp,0
MX000017004,1955-05-05,tmax,320
MX000017004,1955-05-05,tmin,160
MX000017004,1955-05-05,prcp,0
MX000017004,1955-05-06,tmax,320
MX000017004,1955-05-06,tmin,140
MX000017004,1955-05-06,prcp,0
MX000017004,1955-05-07,tmax,310
MX000017004,1955-05-07,tmin,160
MX000017004,1955-05-07,prcp,52
MX000017004,1955-05-08,tmax,270
MX000017004,1955-05-08,tmin,150
MX000017004,1955-05-08,prcp,95
MX000017004,1955-05-09,tmax,270
MX000017004,1955-05-09,tmin,150
MX000017004,1955-05-09,prcp,0
MX000017004,1955-05-10,tmax,250
MX000017004,1955-05-10,tmin,160
MX000017004,1955-05-10,prcp,285
MX000017004,1955-05-11,tmax,270
MX000017004,1955-05-11,tmin,160
MX000017004,1955-05-11,prcp,96
MX000017004,1955-05-12,tmax,240
MX000017004,1955-05-12,tmin,160
MX000017004,1955-05-12,prcp,92
MX000017004,1955-05-13,tmax,230
MX000017004,1955-05-13,tmin,130
MX000017004,1955-05-13,prcp,0
MX000017004,1955-05-14,tmax,230
MX000017004,1955-05-14,tmin,100
MX000017004,1955-05-14,prcp,143
MX000017004,1955-05-15,tmax,270
MX000017004,1955-05-15,tmin,150
MX000017004,1955-05-15,prcp,0
MX000017004,1955-05-16,tmax,270
MX000017004,1955-05-16,tmin,150
MX000017004,1955-05-16,prcp,0
MX000017004,1955-05-17,tmax,300
MX000017004,1955-05-17,tmin,150
MX000017004,1955-05-17,prcp,0
MX000017004,1955-05-18,tmax,290
MX000017004,1955-05-18,tmin,170
MX000017004,1955-05-18,prcp,0
MX000017004,1955-05-19,tmax,310
MX000017004,1955-05-19,tmin,170
MX000017004,1955-05-19,prcp,0
MX000017004,1955-05-20,tmax,270
MX000017004,1955-05-20,tmin,150
MX000017004,1955-05-20,prcp,35
MX000017004,1955-05-21,tmax,250
MX000017004,1955-05-21,tmin,150
MX000017004,1955-05-21,prcp,102
MX000017004,1955-05-22,tmax,250
MX000017004,1955-05-22,tmin,140
MX000017004,1955-05-22,prcp,0
MX000017004,1955-05-23,tmax,240
MX000017004,1955-05-23,tmin,160
MX000017004,1955-05-23,prcp,23
MX000017004,1955-05-24,tmax,260
MX000017004,1955-05-24,tmin,160
MX000017004,1955-05-24,prcp,0
MX000017004,1955-05-25,tmax,250
MX000017004,1955-05-25,tmin,120
MX000017004,1955-05-25,prcp,0
MX000017004,1955-05-26,tmax,260
MX000017004,1955-05-26,tmin,120
MX000017004,1955-05-26,prcp,0
MX000017004,1955-05-27,tmax,260
MX000017004,1955-05-27,tmin,130
MX000017004,1955-05-27,prcp,0
MX000017004,1955-05-28,tmax,280
MX000017004,1955-05-28,tmin,120
MX000017004,1955-05-28,prcp,0
MX000017004,1955-05-29,tmax,320
MX000017004,1955-05-29,tmin,170
MX000017004,1955-05-29,prcp,0
MX000017004,1955-05-30,tmax,330
MX000017004,1955-05-30,tmin,180
MX000017004,1955-05-30,prcp,0
MX000017004,1955-05-31,tmax,320
MX000017004,1955-05-31,tmin,190
MX000017004,1955-05-31,prcp,0
MX000017004,1955-06-01,tmax,290
MX000017004,1955-06-01,tmin,170
MX000017004,1955-06-01,prcp,0
MX000017004,1955-06-02,tmax,270
MX000017004,1955-06-02,tmin,160
MX000017004,1955-06-02,prcp,243
MX000017004,1955-06-03,tmax,260
MX000017004,1955-06-03,tmin,170
MX000017004,1955-06-03,prcp,43
MX000017004,1955-06-04,tmax,270
MX000017004,1955-06-04,tmin,160
MX000017004,1955-06-04,prcp,0
MX000017004,1955-06-05,tmax,260
MX000017004,1955-06-05,tmin,140
MX000017004,1955-06-05,prcp,0
MX000017004,1955-06-06,tmax,250
MX000017004,1955-06-06,tmin,110
MX000017004,1955-06-06,prcp,0
MX000017004,1955-06-07,tmax,260
MX000017004,1955-06-07,tmin,140
MX000017004,1955-06-07,prcp,0
MX000017004,1955-06-08,tmax,270
MX000017004,1955-06-08,tmin,150
MX000017004,1955-06-08,prcp,0
MX000017004,1955-06-09,tmax,300
MX000017004,1955-06-09,tmin,170
MX000017004,1955-06-09,prcp,0
MX000017004,1955-06-10,tmax,310
MX000017004,1955-06-10,tmin,160
MX000017004,1955-06-10,prcp,0
MX000017004,1955-06-11,tmax,300
MX000017004,1955-06-11,tmin,160
MX000017004,1955-06-11,prcp,0
MX000017004,1955-06-12,tmax,300
MX000017004,1955-06-12,tmin,150
MX000017004,1955-06-12,prcp,0
MX000017004,1955-06-13,tmax,260
MX000017004,1955-06-13,tmin,160
MX000017004,1955-06-13,prcp,0
MX000017004,1955-06-14,tmax,250
MX000017004,1955-06-14,tmin,140
MX000017004,1955-06-14,prcp,19
MX000017004,1955-06-15,tmax,270
MX000017004,1955-06-15,tmin,160
MX000017004,1955-06-15,prcp,186
MX000017004,1955-06-16,tmax,250
MX000017004,1955-06-16,tmin,150
MX000017004,1955-06-16,prcp,0
MX000017004,1955-06-17,tmax,270
MX000017004,1955-06-17,tmin,140
MX000017004,1955-06-17,prcp,0
MX000017004,1955-06-18,tmax,220
MX000017004,1955-06-18,tmin,100
MX000017004,1955-06-18,prcp,0
MX000017004,1955-06-19,tmax,240
MX000017004,1955-06-19,tmin,100
MX000017004,1955-06-19,prcp,0
MX000017004,1955-06-20,tmax,260
MX000017004,1955-06-20,tmin,110
MX000017004,1955-06-20,prcp,0
MX000017004,1955-06-21,tmax,300
MX000017004,1955-06-21,tmin,160
MX000017004,1955-06-21,prcp,0
MX000017004,1955-06-22,tmax,310
MX000017004,1955-06-22,tmin,160
MX000017004,1955-06-22,prcp,0
MX000017004,1955-06-23,prcp,0
MX000017004,1955-06-23,prcp,0
MX000017004,1955-06-23,prcp,0
MX000017004,1955-06-24,prcp,0
MX000017004,1955-06-24,tmax,270
MX000017004,1955-06-24,tmin,160
MX000017004,1955-06-25,prcp,0
MX000017004,1955-06-25,tmax,240
MX000017004,1955-06-25,tmin,130
MX000017004,1955-06-26,prcp,0
MX000017004,1955-06-26,tmax,250
MX000017004,1955-06-26,tmin,135
MX000017004,1955-06-27,prcp,0
MX000017004,1955-06-27,tmax,280
MX000017004,1955-06-27,tmin,120
MX000017004,1955-06-28,prcp,0
MX000017004,1955-06-28,tmax,270
MX000017004,1955-06-28,tmin,150
MX000017004,1955-06-29,prcp,0
MX000017004,1955-06-29,tmax,260
MX000017004,1955-06-29,tmin,130
MX000017004,1955-06-30,prcp,0
MX000017004,1955-06-30,tmax,210
MX000017004,1955-06-30,tmin,130
MX000017004,1955-07-01,prcp,0
MX000017004,1955-07-01,tmax,260
MX000017004,1955-07-01,tmin,190
MX000017004,1955-07-02,prcp,46
MX000017004,1955-07-02,tmax,240
MX000017004,1955-07-02,tmin,145
